signal_id,direction,version,event_kind,aggregation,index_id,index_name,observation_unit,match_scope,timing_slice,region_form_slice,region_count,matched_region_count,missed_region_count,region_recall,episode_count,matched_episode_count,false_alarm_count,isolated_false_alarm_count,duplicate_alarm_count,unclassified_episode_count,episode_precision,median_lead_lag_days,q25_lead_lag_days,q75_lead_lag_days
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,all,109,13,96,0.11926605504587157,140,13,127,80,8,0,0.09285714285714286,0.0,0.0,2.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,multi_lobe,46,10,36,0.21739130434782608,37,10,27,20,0,0,0.2702702702702703,2.0,0.0,3.5
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,single_lobe,63,3,60,0.047619047619047616,103,3,100,60,8,0,0.02912621359223301,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,all,104,6,98,0.057692307692307696,66,6,60,25,2,0,0.09090909090909091,3.0,2.0,4.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,multi_lobe,43,6,37,0.13953488372093023,17,6,11,6,0,0,0.35294117647058826,3.0,2.0,4.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,single_lobe,61,0,61,0.0,49,0,49,19,2,0,0.0,,,
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,all,104,7,97,0.0673076923076923,74,7,67,55,6,0,0.0945945945945946,0.0,-3.5,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,multi_lobe,41,4,37,0.0975609756097561,20,4,16,14,0,0,0.2,-3.5,-8.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,single_lobe,63,3,60,0.047619047619047616,54,3,51,41,6,0,0.05555555555555555,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,all,109,7,102,0.06422018348623854,140,7,133,80,8,0,0.05,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,multi_lobe,46,4,42,0.08695652173913043,37,4,33,20,0,0,0.10810810810810811,0.0,-1.75,1.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,single_lobe,63,3,60,0.047619047619047616,103,3,100,60,8,0,0.02912621359223301,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,all,104,1,103,0.009615384615384616,66,1,65,25,2,0,0.015151515151515152,4.0,4.0,4.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,multi_lobe,43,1,42,0.023255813953488372,17,1,16,6,0,0,0.058823529411764705,4.0,4.0,4.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,single_lobe,61,0,61,0.0,49,0,49,19,2,0,0.0,,,
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,all,104,6,98,0.057692307692307696,74,6,68,55,6,0,0.08108108108108109,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,multi_lobe,41,3,38,0.07317073170731707,20,3,17,14,0,0,0.15,0.0,-3.5,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,single_lobe,63,3,60,0.047619047619047616,54,3,51,41,6,0,0.05555555555555555,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,all,all,109,52,57,0.47706422018348627,140,52,88,80,8,0,0.37142857142857144,4.0,1.5,5.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,all,multi_lobe,46,17,29,0.3695652173913043,37,17,20,20,0,0,0.4594594594594595,2.0,0.0,4.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,all,single_lobe,63,35,28,0.5555555555555556,103,35,68,60,8,0,0.33980582524271846,5.0,3.0,5.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,confirmation,all,104,39,65,0.375,66,39,27,25,2,0,0.5909090909090909,5.0,4.0,5.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,confirmation,multi_lobe,43,11,32,0.2558139534883721,17,11,6,6,0,0,0.6470588235294118,4.0,3.0,5.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,confirmation,single_lobe,61,28,33,0.45901639344262296,49,28,21,19,2,0,0.5714285714285714,5.0,4.0,6.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,prediction,all,104,13,91,0.125,74,13,61,55,6,0,0.17567567567567569,-11.0,-11.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,prediction,multi_lobe,41,6,35,0.14634146341463414,20,6,14,14,0,0,0.3,-9.0,-11.0,-1.75
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,prediction,single_lobe,63,7,56,0.1111111111111111,54,7,47,41,6,0,0.12962962962962962,-11.0,-11.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,all,all,15,3,12,0.2,20,3,17,12,1,0,0.15,2.0,1.0,3.5
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,all,multi_lobe,10,3,7,0.3,7,3,4,3,0,0,0.42857142857142855,2.0,1.0,3.5
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,all,single_lobe,5,0,5,0.0,13,0,13,9,1,0,0.0,,,
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,confirmation,all,14,2,12,0.14285714285714285,7,2,5,2,0,0,0.2857142857142857,3.5,2.75,4.25
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,confirmation,multi_lobe,9,2,7,0.2222222222222222,4,2,2,1,0,0,0.5,3.5,2.75,4.25
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,confirmation,single_lobe,5,0,5,0.0,3,0,3,1,0,0,0.0,,,
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,prediction,all,14,1,13,0.07142857142857142,13,1,12,10,1,0,0.07692307692307693,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,prediction,multi_lobe,9,1,8,0.1111111111111111,3,1,2,2,0,0,0.3333333333333333,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,loose,prediction,single_lobe,5,0,5,0.0,10,0,10,8,1,0,0.0,,,
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,strict,all,all,15,1,14,0.06666666666666667,20,1,19,12,1,0,0.05,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,strict,all,multi_lobe,10,1,9,0.1,7,1,6,3,0,0,0.14285714285714285,0.0,0.0,0.0
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,index,all_a,全A,region_or_episode,strict,all,single_lobe,5,0,5,0.0,13,0,13,9,1,0,0.0,,,
