record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::missed_region::all_a_medium_bottom_20120106,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20120106,2012-01-06,2012-01-05,2012-01-09,single_lobe,1,,,False,False,,,,,,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,,,,
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::missed_region::all_a_medium_bottom_20120329,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20120329,2012-03-29,2012-03-29,2012-04-10,multi_lobe,2,,,False,False,,,,,,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,,,,
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::false_alarm::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000001,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,false_alarm,False,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000001,2012-07-06,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,all_a_medium_bottom_20120329,confirmation,multi_lobe,nearest_region_for_slice_only
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::false_alarm::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000002,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,false_alarm,False,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000002,2012-07-12,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,all_a_medium_bottom_20120329,confirmation,multi_lobe,nearest_region_for_slice_only
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::false_alarm::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000003,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,false_alarm,False,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000003,2012-07-23,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,all_a_medium_bottom_20120329,confirmation,multi_lobe,nearest_region_for_slice_only
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::false_alarm::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000004,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,false_alarm,False,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000004,2012-09-04,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,all_a_medium_bottom_20121204,prediction,single_lobe,nearest_region_for_slice_only
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::duplicate_alarm::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000005,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,duplicate_alarm,False,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000005,2012-11-21,all_a_medium_bottom_20121204,2012-12-04,2012-11-29,2012-12-05,single_lobe,1,,prediction_window,False,False,prediction,-9,9,10,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000006,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20121204,prediction,single_lobe,duplicate_candidate
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::matched::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000006,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,matched,True,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000006,2012-11-26,all_a_medium_bottom_20121204,2012-12-04,2012-11-29,2012-12-05,single_lobe,1,,prediction_window,False,False,prediction,-6,6,10,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000006,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20121204,prediction,single_lobe,primary_match
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::matched::new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000007,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,matched,True,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000007,2013-04-15,all_a_medium_bottom_20130416,2013-04-16,2013-04-08,2013-05-02,multi_lobe,3,all_a_medium_bottom_20130416_lobe_02,core_lobe,True,True,prediction,-1,1,5,new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000007,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20130416,prediction,multi_lobe,primary_match
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::onset::all_a::missed_region::all_a_medium_bottom_20130625,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20130625,2013-06-25,2013-06-25,2013-06-25,single_lobe,1,,,False,False,,,,,,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,,,,
